uniq_id,question_sets,question,answer
eac7efa5dbd3d667f26eb3d3ab504464,question_set1,Does this catalogue detail all the previous Hornby products please?,"HiThe 2014 catalogue does indeed detail previous models but also includes new releases for 2014.You would be advised to purchase models as you need them to avoid them being discontinued in subsequent years…
    
      see more
    
  
  
    HiThe 2014 catalogue does indeed detail previous models but also includes new releases for 2014.You would be advised to purchase models as you need them to avoid them being discontinued in subsequent yearsHope this helps
    
      see less"
b17540ef7e86e461d37f3ae58b7b72ac,question_set1,can you turn off sounds,hi no you cant turn sound off
348f344247b0c1a935b1223072ef9d8a,question_set1,What is the gauge of the track,"Hi Paul.Truthfully, I'm not sure. But it's very much alike to a 00 gauge. But this train set isn't an add-on for an electric train set nor has nothing to do with one.I bought this for my 4 year old nephew as he adores trains but is far too young for an electric set. He was VERY happy with this though!"
348f344247b0c1a935b1223072ef9d8a,question_set2,what is the layout of the tracks?,Its an oval shape layout
cb34f0a84102c1ebc3ef6892d7444d36,question_set1,is it possible to replace thr grain of wheat lamps with leds,"Hi Pete. No it's not possible the main pole is to thin to take readily available LEDs wiring. I was hoping to do this myself but it would mean rewireing the LEDs with thin enough wire that I have not managed to track down yet. I will be trying by using the existing wire. Tricky job cutting the tops off the lantern and …
    
      see more
    
  
  
    Hi Pete. No it's not possible the main pole is to thin to take readily available LEDs wiring. I was hoping to do this myself but it would mean rewireing the LEDs with thin enough wire that I have not managed to track down yet. I will be trying by using the existing wire. Tricky job cutting the tops off the lantern and hoping I can pull enough wire through to solder the led back on. That I will be trying in the next few months. Hope I may have been some help, good luck. Derryck
    
      see less"
87bbb472ef9d90dcef140a551665c929,question_set1,Can this train go backwards as well as forward?,Yes.  Variable speed in both directions.
87bbb472ef9d90dcef140a551665c929,question_set2,Is this train set OO Gauge.,Yes it is.
87bbb472ef9d90dcef140a551665c929,question_set3,can it sit directly on carpet or will i need a board to put it on ?,"The train set can be run on carpet, although a board is more beneficial."
87bbb472ef9d90dcef140a551665c929,question_set4,Hi does this play Christmas sound effects thanks,Hi no sound effects.
87bbb472ef9d90dcef140a551665c929,question_set5,is the carriages and engine hard plastic?,"Yes, they are. It is a lovely piece, kids loved it, the grown ups even more!"
87bbb472ef9d90dcef140a551665c929,question_set6,How long is the track?,"It's about 4 feet long each side, Then there's the 2 bends one each end."
87bbb472ef9d90dcef140a551665c929,question_set7,How long is the Santa express train and its carriages in total from engine to end of last carriage?  Thanks,12 inches long.
7e2aa2b4596a39ba852449718413d7cc,question_set1,"The description is incorrect.  the hornby site provides the following; contents: gwr ‘ketley hall’, hall class 4-6-0 locomotive, correct?","Another Seller has entered the wrong description, you are right - it is the Ketley Hall locomotive."
93a2c5173f17b896dc614ffbac0c2f2c,question_set1,"I'm guessing this is the railroad version, as the detail is very poor. Please advise.","This model is in the Hotnby Railways range rather than the RailRoad range however only just, the detail is decent for the price including the sound decoder and speaker yet could be better."
e4bbad5854ce01970f9e6b879407f72d,question_set1,In the uk isthere extra import duty or tax to pay ?,"Dear friends.Thank you for your question.Price in the sale screen in the Amazon, because they are displayed in including the value-added tax (VAT) price, should never tax is applied by another in this price.…
    
      see more
    
  
  
    Dear friends.Thank you for your question.Price in the sale screen in the Amazon, because they are displayed in including the value-added tax (VAT) price, should never tax is applied by another in this price.We only examined still some.So may not be accurate, I will leave to check a little more detail.Take some time now.Best regards.
    
      see less"
fe0b2ec319cde46d25c34eda5bdc6089,question_set1,Can the train set lie on carpet?,Unlikely
fe0b2ec319cde46d25c34eda5bdc6089,question_set2,"If one migrates to DCC later, do you have to run this on separate track, or will it run on the track however not be controllable?",Don't know Dave. I'm just a 63 year old leaner. I've always wanted a. Train set I'm into G gauge at the momentAlso 00 gauge and N gauge.  Sorry. Steve
b7305bef81247f7f4acafbbf8f2bff5f,question_set1,is this a model tram or is it a moving model with track?,It is a model which runs on N Gauge track.
b1bbbe466d07d864d703f11c04dd38c6,question_set1,what is the difference between this model and the Green model for 14 plus age group,"Hi,  Apart from some minor detailing I believe their is very little difference.                             Regards John,, Shop Amazon Ltd"
